addr,coordinates,distance_to_mrt
542 ANG MO KIO AVE 10 SINGAPORE,"(1.3747544, 103.855901321724)",0.885779067484
544 ANG MO KIO AVE 10 SINGAPORE,"(1.3740315, 103.8564538)",0.891775382754
335 ANG MO KIO AVE 1 SINGAPORE,"(1.3632319, 103.850716999775)",0.756201573322
475 ANG MO KIO AVE 10 SINGAPORE,"(1.362655, 103.856514301373)",1.11933384416
572 ANG MO KIO AVE 3 SINGAPORE,"(1.3703091, 103.8558394)",0.699495653966
208 ANG MO KIO AVE 1 SINGAPORE,"(1.3654677, 103.8426847)",0.911239598798
231 ANG MO KIO AVE 3 SINGAPORE,"(1.3688328, 103.8372952)",0.303458254873
435 ANG MO KIO AVE 10 SINGAPORE,"(1.3677443, 103.8541891)",0.569431062622
467 ANG MO KIO AVE 10 SINGAPORE,"(1.3653901, 103.8568163)",0.95193858833
634 ANG MO KIO AVE 6 SINGAPORE,"(1.3816568, 103.8433188)",0.181363237057
504 ANG MO KIO AVE 8 SINGAPORE,"(1.3748087, 103.848935)",0.546540988864
414 ANG MO KIO AVE 10 SINGAPORE,"(1.3640848, 103.8536456)",0.793322528496
434 ANG MO KIO AVE 10 SINGAPORE,"(1.3679694, 103.8532832)",0.468137678735
346 ANG MO KIO AVE 3 SINGAPORE,"(1.3671343, 103.8497283)",0.311795100893
638 ANG MO KIO AVE 6 SINGAPORE,"(1.3804827, 103.8435905)",0.206871003717
101 ANG MO KIO AVE 3 SINGAPORE,"(1.3702489, 103.8394238)",0.34500458219
354 ANG MO KIO ST 32 SINGAPORE,"(1.3639116, 103.8519697)",0.721240546364
648 ANG MO KIO AVE 5 SINGAPORE,"(1.3782826, 103.8438623)",0.404623520522
351 ANG MO KIO ST 32 SINGAPORE,"(1.3643093, 103.850309063607)",0.630893332838
716 ANG MO KIO AVE 6 SINGAPORE,"(1.37146415, 103.845886697418)",0.442209164546
700A ANG MO KIO AVE 6 SINGAPORE,"(1.3698729, 103.845911137312)",0.405466681132
596D ANG MO KIO ST 52 SINGAPORE,"(1.371972, 103.850869)",0.269500352987
460 ANG MO KIO AVE 10 SINGAPORE,"(1.3663606, 103.8590357)",1.12596271615
700B ANG MO KIO AVE 6 SINGAPORE,"(1.369449, 103.846244110141)",0.372310182688
437 ANG MO KIO AVE 10 SINGAPORE,"(1.3672748, 103.8530567)",0.488498456484
253 ANG MO KIO ST 21 SINGAPORE,"(1.3695867, 103.834466608265)",0.313197852987
596C ANG MO KIO ST 52 SINGAPORE,"(1.372111, 103.850064)",0.248606526993
316A ANG MO KIO ST 31 SINGAPORE,"(1.36460965, 103.847080318766)",0.652894909678
439 ANG MO KIO AVE 10 SINGAPORE,"(1.3663578, 103.8532832)",0.574045225886
350 ANG MO KIO ST 32 SINGAPORE,"(1.3636951, 103.850073370124)",0.696003003337
353 ANG MO KIO ST 32 SINGAPORE,"(1.3640602, 103.8516073)",0.691633725385
700C ANG MO KIO AVE 6 SINGAPORE,"(1.369514, 103.846522455121)",0.340659046212
620 BEDOK RESERVOIR RD SINGAPORE,"(1.3338644, 103.918253439676)",0.102277030994
618 BEDOK RESERVOIR RD SINGAPORE,"(1.33301505, 103.917025454947)",0.219317367376
504 BEDOK NTH ST 3 SINGAPORE,"(1.3318724, 103.9323222)",0.52664573667
503 BEDOK NTH ST 3 SINGAPORE,"(1.3314692, 103.9324581)",0.57192933208
525 BEDOK NTH ST 3 SINGAPORE,"(1.3347268, 103.9290365)",0.412482312273
709 BEDOK RESERVOIR RD SINGAPORE,"(1.33562865, 103.922141852429)",0.473218331449
74 BEDOK NTH RD SINGAPORE,"(1.3269887, 103.933090797197)",0.480799634455
20 CHAI CHEE RD SINGAPORE,"(1.3259937, 103.923105225171)",0.796843072392
528 BEDOK NTH ST 3 SINGAPORE,"(1.3348078, 103.9276769)",0.544760480101
3 BEDOK STH AVE 1 SINGAPORE,"(1.3219218, 103.93321275)",0.425633109567
109 BEDOK NTH RD SINGAPORE,"(1.3269887, 103.933090797197)",0.480799634455
632 BEDOK RESERVOIR RD SINGAPORE,"(1.3321611, 103.913688)",0.556625965035
21 CHAI CHEE RD SINGAPORE,"(1.3260669, 103.922243859298)",0.891230525633
89 BEDOK NTH ST 4 SINGAPORE,"(1.3326993, 103.93801)",0.77528853438
534 BEDOK NTH ST 3 SINGAPORE,"(1.333142, 103.9246859)",0.766579841161
614 BEDOK RESERVOIR RD SINGAPORE,"(1.33239805, 103.91679795)",0.291813929703
609 BEDOK RESERVOIR RD SINGAPORE,"(1.3317226, 103.912334057216)",0.561840818494
136 BEDOK RESERVOIR RD SINGAPORE,"(1.33369785, 103.913587891792)",0.501684968246
76 BEDOK NTH RD SINGAPORE,"(1.3283586, 103.9421798)",0.481155051968
529 BEDOK NTH ST 3 SINGAPORE,"(1.3342292, 103.9264986)",0.690322325455
126 BEDOK NTH ST 2 SINGAPORE,"(1.3281579, 103.9389165)",0.832975845932
18 BEDOK STH RD SINGAPORE,"(1.3205587, 103.9347959)",0.656355035107
57 CHAI CHEE DR SINGAPORE,"(1.3259234, 103.9203354)",0.984491370695
37 CHAI CHEE AVE SINGAPORE,"(1.3254507, 103.9262267)",0.448606784538
110 BEDOK NTH RD SINGAPORE,"(1.3269887, 103.933090797197)",0.480799634455
4 BEDOK STH AVE 1 SINGAPORE,"(1.32247275, 103.93346305)",0.42145077169
424 BEDOK NTH AVE 1 SINGAPORE,"(1.3284794, 103.9275409)",0.569301088996
158 BEDOK STH AVE 3 SINGAPORE,"(1.3219218, 103.93321275)",0.425633109567
616 BEDOK RESERVOIR RD SINGAPORE,"(1.3315118, 103.914751301944)",0.507651041772
55 CHAI CHEE DR SINGAPORE,"(1.3269202, 103.918891)",0.875654908737
536 BEDOK NTH ST 3 SINGAPORE,"(1.3334447, 103.9229638)",0.572677927252
57 NEW UPP CHANGI RD SINGAPORE,"(1.3241187, 103.9416359)",0.624998458329
104 BEDOK NTH AVE 4 SINGAPORE,"(1.3332562, 103.936605)",0.612312098286
92 BEDOK NTH AVE 4 SINGAPORE,"(1.332461, 103.9412733)",0.813600068952
701 BEDOK RESERVOIR RD SINGAPORE,"(1.33768395, 103.918938364431)",0.344085852318
103 BEDOK RESERVOIR RD SINGAPORE,"(1.32875155, 103.909426214332)",0.699460712141
218 BEDOK NTH ST 1 SINGAPORE,"(1.3273802, 103.9342911)",0.610038639801
402 BEDOK NTH AVE 3 SINGAPORE,"(1.3305299, 103.9335685)",0.691910302625
102 BEDOK NTH AVE 4 SINGAPORE,"(1.3338732, 103.9374662)",0.656264272484
116 BEDOK NTH RD SINGAPORE,"(1.3269887, 103.933090797197)",0.480799634455
425 BEDOK NTH RD SINGAPORE,"(1.3269887, 103.933090797197)",0.480799634455
208 NEW UPP CHANGI RD SINGAPORE,"(1.3254978, 103.9313021)",0.223470472666
554 BEDOK NTH ST 3 SINGAPORE,"(1.3326826, 103.9282207)",0.624181642684
419 BEDOK NTH ST 1 SINGAPORE,"(1.326903, 103.9281301)",0.384886312679
412 BEDOK NTH AVE 2 SINGAPORE,"(1.3290438, 103.9311665)",0.578200521903
111 BEDOK RESERVOIR RD SINGAPORE,"(1.32986325, 103.910081357467)",0.59548578204
36 BEDOK STH AVE 2 SINGAPORE,"(1.32161715, 103.93845055)",0.977116853252
23 BEDOK STH AVE 1 SINGAPORE,"(1.32332035, 103.9326624)",0.306592561785
42 CHAI CHEE ST SINGAPORE,"(1.3279508, 103.925452430753)",0.669907756307
103 BEDOK NTH AVE 4 SINGAPORE,"(1.3334342, 103.9374662)",0.680259132352
151 BEDOK RESERVOIR RD SINGAPORE,"(1.3357781, 103.9117255)",0.374065237432
56 CHAI CHEE DR SINGAPORE,"(1.326364, 103.9200635)",0.960008518339
80 BEDOK NTH RD SINGAPORE,"(1.3269887, 103.933090797197)",0.480799634455
602 BEDOK RESERVOIR RD SINGAPORE,"(1.3294618, 103.9118094781)",0.71654124906
140 BEDOK RESERVOIR RD SINGAPORE,"(1.3348915, 103.9131756)",0.524305812921
35 CHAI CHEE AVE SINGAPORE,"(1.3248659, 103.9261361)",0.439003233355
108 BEDOK RESERVOIR RD SINGAPORE,"(1.3302205, 103.90943851259)",0.538918288786
5 BEDOK STH AVE 2 SINGAPORE,"(1.3203215, 103.9376871)",0.947984383958
135 BEDOK RESERVOIR RD SINGAPORE,"(1.336824, 103.913566)",0.542379570251
132 BEDOK RESERVOIR RD SINGAPORE,"(1.332923, 103.9119068)",0.445543428264
613 BEDOK RESERVOIR RD SINGAPORE,"(1.33206275, 103.917336140932)",0.306365526888
532 BEDOK NTH ST 3 SINGAPORE,"(1.3340175, 103.925139)",0.800081750413
61 CHAI CHEE RD SINGAPORE,"(1.3251396, 103.920696930352)",0.974549120104
619 BEDOK RESERVOIR RD SINGAPORE,"(1.3334638, 103.91772763126)",0.144848594842
201 BEDOK NTH ST 1 SINGAPORE,"(1.3264388, 103.9283016)",0.331287599172
43 CHAI CHEE ST SINGAPORE,"(1.32833085, 103.925267732603)",0.713435693609
508 BEDOK NTH AVE 3 SINGAPORE,"(1.3334266, 103.9324355)",0.354440715069
43 BEDOK STH RD SINGAPORE,"(1.32153095, 103.941604666423)",0.820623201179
170 BEDOK STH RD SINGAPORE,"(1.3206547, 103.9461683)",0.726643507615
704 BEDOK RESERVOIR RD SINGAPORE,"(1.33669455, 103.920406623821)",0.346411062732
171 BEDOK STH RD SINGAPORE,"(1.3208783, 103.9454431)",0.70866170786
35 BEDOK STH AVE 2 SINGAPORE,"(1.32129375, 103.933323913106)",0.476474386602
82 BEDOK NTH RD SINGAPORE,"(1.3269887, 103.933090797197)",0.480799634455
428 BEDOK NTH RD SINGAPORE,"(1.3269887, 103.933090797197)",0.480799634455
104 BEDOK RESERVOIR RD SINGAPORE,"(1.3293084, 103.909963774875)",0.651075345685
120 BEDOK RESERVOIR RD SINGAPORE,"(1.33092035, 103.909923387518)",0.478512219644
611 BEDOK RESERVOIR RD SINGAPORE,"(1.33110655, 103.915315401539)",0.501052484494
545 BEDOK NTH ST 3 SINGAPORE,"(1.3301452, 103.924142)",0.854841891403
101 BEDOK RESERVOIR RD SINGAPORE,"(1.3285202, 103.910034528722)",0.73795037478
612 BEDOK RESERVOIR RD SINGAPORE,"(1.3315785, 103.915754514084)",0.42995427752
404 BEDOK NTH AVE 3 SINGAPORE,"(1.3293572, 103.9339311)",0.741612301296
601 BEDOK RESERVOIR RD SINGAPORE,"(1.3299325, 103.911379437123)",0.647124711293
763 BEDOK RESERVOIR VIEW SINGAPORE,"(1.33616585, 103.935057217299)",0.317598303014
647 JLN TENAGA SINGAPORE,"(1.332131, 103.905875)",0.426644340212
766 BEDOK RESERVOIR VIEW SINGAPORE,"(1.33613415, 103.93652426998)",0.479757277434
772 BEDOK RESERVOIR VIEW SINGAPORE,"(1.3365002, 103.937980122794)",0.638808730099
660 JLN TENAGA SINGAPORE,"(1.334489, 103.9068317)",0.188632904031
137 BEDOK NTH AVE 3 SINGAPORE,"(1.3288356, 103.9355626)",0.822209142665
671 JLN DAMAI SINGAPORE,"(1.332428, 103.9089161)",0.286878813169
114 BEDOK RESERVOIR RD SINGAPORE,"(1.3305682, 103.909853453068)",0.513107627707
715 BEDOK RESERVOIR RD SINGAPORE,"(1.33744925, 103.923179250226)",0.651828379065
53 CHAI CHEE ST SINGAPORE,"(1.32847605, 103.91997281516)",0.731180958885
183 BEDOK NTH RD SINGAPORE,"(1.3269887, 103.933090797197)",0.480799634455
111 LENGKONG TIGA SINGAPORE,"(1.3241076, 103.911215599572)",0.391957621132
