,Num,ASIN,Title,Author,Price,Link,WatchList
1,1,B007ZI2G4I,The Undertakers: Queen of the Dead,Ty Drago and Eric Williams,6.99,https://www.amazon.com/Undertakers-Queen-Dead-Ty-Drago-ebook/dp/B007ZI2G4I/ref=sr_1_2/133-1178135-8996418?s=books&ie=UTF8&qid=1511428418&sr=1-2&keywords=ty+drago&refinements=p_n_feature_browse-bin%3A618073011,y
2,2,B00BMKDTL4,Phobos,Ty Drago,6.79,https://www.amazon.com/Phobos-Ty-Drago-ebook/dp/B00BMKDTL4/ref=sr_1_3/133-1178135-8996418?s=books&ie=UTF8&qid=1511428418&sr=1-3&keywords=ty+drago&refinements=p_n_feature_browse-bin%3A618073011,n
4,4,B007ZI2G4I,The Undertakers: Queen of the Dead,Ty Drago and Eric Williams,6.99,https://www.amazon.com/Undertakers-Queen-Dead-Ty-Drago-ebook/dp/B007ZI2G4I/ref=sr_1_2/131-6588311-7666119?s=books&ie=UTF8&qid=1511448898&sr=1-2&keywords=ty+drago&refinements=p_n_feature_browse-bin%3A618073011,
5,5,B00BMKDTL4,Phobos,Ty Drago,6.79,https://www.amazon.com/Phobos-Ty-Drago-ebook/dp/B00BMKDTL4/ref=sr_1_3/131-6588311-7666119?s=books&ie=UTF8&qid=1511448898&sr=1-3&keywords=ty+drago&refinements=p_n_feature_browse-bin%3A618073011,
